Inv_ID,Prod_ID,Item_condition,Size,Color,List_Price,Signed_Date,Purchase_ID,Boutique,Appraiser_ID,Consignor_ID,Commission_Rate,Discount
1,1,Good,M,Navy Blue,80,2023-3-25,1,1,1,1,0.8,
2,1,Fair,L,Navy Blue,50,2023-4-26,,2,3,2,0.5,
3,2,Excellent,S,Pink,100,2023-2-23,2,3,8,3,0.8,
4,2,Excellent,S,Green,90,2022-5-25,3,3,8,4,0.8,
5,2,Fair,XL,Green,40,2022-1-12,4,2,4,5,0.6,
6,3,Very Good,One Size,Black,60,2022-6-13,,2,4,6,0.8,
7,3,Fair,One Size,Black,35,2022-7-18,5,2,5,7,0.7,
8,3,Fair,One Size,White,30,2022-5-7,4,2,5,8,0.5,
9,3,Fair,One Size,White,20,2023-3-2,10,1,1,9,0.5,0.5
10,3,Fair,One Size,White,40,2023-2-4,,1,1,10,0.6,0.5
11,3,Fair,One Size,Red,40,2022-10-11,6,3,9,11,0.6,
12,3,Good,One Size,Red,50,2022-11-11,,3,9,12,0.8,
13,3,Very Good,One Size,Red,60,2023-12-3,,3,9,13,0.8,
14,4,Excellent,M,Purple,125,2023-3-25,1,1,2,1,0.9,
15,5,Good,One Size,Blue,45,2023-5-2,,1,2,14,0.9,0.5
16,5,Fair,One Size,Blue,50,2023-4-1,6,3,8,15,0.6,
17,6,Fair,One Size,Blue,10,2022-9-17,8,2,6,16,0.6,
18,7,Very Good,S,Pink,25,2023-2-15,9,2,6,17,0.5,
19,8,Good,XL,Pink,155,2022-1-12,4,2,6,5,0.7,
20,9,Very Good,XS,Blue,75,2023-2-2,7,1,2,18,0.8,
21,9,Pristine,36,Black,140,2022-9-5,11,2,6,20,0.8,
22,10,Very Good,37,Beige,85,2022-8-17,12,1,2,10,0.7,0.1
23,11,Excellent,39,Grey,200,2022-10-15,,3,9,11,0.8,0.2
24,12,Good,41,White,170,2023-1-3,8,2,5,2,0.7,
25,13,Fair,38,Grey,120,2023-2-15,11,2,3,5,0.6,0.2
26,14,Good,38,White,95,2023-2-23,7,1,1,9,0.5,0.1
27,15,Excellent,35,Beige,110,2023-3-15,,3,8,4,0.6,0.15
28,16,Pristine,XS,Black,85,2023-1-26,13,2,5,5,0.5,
29,16,Very Good,S,Black,50,2022-12-22,5,2,4,2,0.5,
30,16,Good,M,White,150,2022-12-6,10,1,2,14,0.8,0.1
31,17,Good,38,White,95,2023-2-7,7,1,1,9,0.5,0.1
32,18,Excellent,60-80,Beige,110,2023-1-25,,3,8,22,0.8,0.15
33,19,Pristine,60-80,Black,85,2022-10-19,14,2,5,23,0.9,
34,20,Fair,50-60,Mauve,50,2022-11-16,15,2,4,24,0.5,
35,20,Good,50-60,Turquoise,150,2022-8-17,16,1,2,25,0.8,0.1
